node_id,phase,year,start_day,kill_effect,kill_decay,block_effect,block_decay,discard_k,discard_l,coverage
1,pickup,2003,880,0.289710659,1460,0.822301237,730,2.3,912.5,0.49
1,pickup,2008,1975,0.080838461,1460,0.736546547,730,2.3,912.5,0.61
1,pickup,2014,3070,0.080838461,1460,0.736546547,730,2.3,912.5,0.65
1,pickup,2016,4165,0.264781107,1460,0.080838461,730,2.3,912.5,0.77
1,pickup,2019,5260,0.289710659,1460,0.822301237,730,2.3,912.5,0.79
1,pickup,2022,6355,0.13389501,1460,0.782449899,730,2.3,912.5,0.80
