node_id,phase,year,age,age_usage
1,pickup,2014,0,1
1,pickup,2014,5,0.552
1,pickup,2014,15,0.411
1,pickup,2016,0,1
1,pickup,2016,5,0.607
1,pickup,2016,15,0.511
1,pickup,2022,0,1
1,pickup,2022,5,0.5891
1,pickup,2022,15,0.620945815
